Unnamed: 0,year,quarter,title,studio,castcrew,link_en,dates_raw,date_us,date_jp,delay
20,1994,Q2,With Honors,Warner Bros. Pictures,"Alek Keshishian (director); William Mastrosimone (screenplay); Joe Pesci, Brendan Fraser, Moira Kelly, Patrick Dempsey, Josh Hamilton, Gore Vidal, Lance Norris",With_Honors_(film),{{flagicon|USA}} 1994年4月29日<br> {{flagicon|JPN}} 1994年10月15日,1994-04-29,1994-10-15,169.0
21,1994,Q2,3 Ninjas Kick Back,TriStar Pictures,"Charles T. Kanganis (director); Sang-ok Shin, Mark Saltzman (screenplay); Victor Wong, Max Elliott Slade, Sean Fox, J. Evan Bonifant, Caroline Junko King, Dustin Nguyen",3_Ninjas_Kick_Back,no_dates,,,
22,1994,Q2,Being Human,Warner Bros. Pictures,"Bill Forsyth (director/screenplay); Robin Williams, John Turturro, Anna Galiena, Vincent D'Onofrio, Hector Elizondo, Lorraine Bracco, Lindsay Crouse, Bill Nighy, Robert Carlyle, Theresa Russell, Simon McBurney, Lizzy McInnerny, William H. Macy, Jonathan Hyde, Ewan McGregor, Kelly Hunter",Being_Human_(1994_film),no_ja,,,
23,1994,Q2,Clean Slate,Metro-Goldwyn-Mayer / The Zanuck Company,"Mick Jackson (director); Robert King (screenplay); Dana Carvey, Valeria Golino, James Earl Jones, Kevin Pollak, Michael Murphy, Michael Gambon, Olivia d'Abo, Jayne Brook, Michael Monks, Angela Paton, Vyto Ruginis, Gailard Sartain, Christopher Meloni, Bryan Cranston",Clean_Slate_(1994_film),no_ja,,,
24,1994,Q2,Dream Lover,Metro-Goldwyn-Mayer / Gramercy Pictures,"Nicholas Kazan (director/screenplay); James Spader, Madchen Amick, Fredric Lehne, Bess Armstrong, Larry Miller, Kathleen York, Kate Williamson, Tom Lillard, William Shockley, Joel McKinnon Miller, Archie Lang, Clyde Kusatsu",Dream_Lover_(1993_film),no_ja,,,
25,1994,Q2,Stephen King's The Stand,ABC,"Mick Garris (director); Stephen King (screenplay); Gary Sinise, Molly Ringwald, Jamey Sheridan, Rob Lowe, Laura San Giacomo, Miguel Ferrer, Ruby Dee, Bill Fagerbakke, Corin Nemec, Adam Storke, Ray Walston, Matt Frewer, Ossie Davis, Shawnee Smith, Rick Aviles, Max Wright, Sarah Schaub, William Newman, Kareem Abdul-Jabbar, Warren Frost, John Bloom, Troy Evans, Stephen King, John Landis, Dan Martin, Sam Raimi, Chuck Adamson, Ray McKinnon, Tom Holland, Kathy Bates, Ed Harris, Sherman Howard, Ken Jenkins, Richard Lineback, Sam Anderson, Patrick Kilpatrick, Jordan Lund, Bill Corso",The_Stand_(1994_miniseries),no_ja,,,
26,1994,Q2,Crooklyn,Universal Pictures / 40 Acres and a Mule Filmworks,"Spike Lee (director/screenplay); Joie Susannah Lee, Cinqué Lee (screenplay); Alfre Woodard, Delroy Lindo, Spike Lee, Zelda Harris, Carlton Williams, Sharif Rashed, Chris Knowings, Tse-Mach Washington, David Patrick Kelly, Jose Zuniga, Isaiah Washington, N. Jeremi Duru, Norman Matlock, Frances Foster, Joie Susannah Lee, Vondie Curtis-Hall, Ivelka Reyes, Manny Perez, Bokeem Woodbine, RuPaul, Tiasha Reyes, Patrice Nelson",Crooklyn,{{flagicon|USA}} 1994年5月13日<br /> {{flagicon|JPN}} 1995年4月22日,1994-05-13,1995-04-22,344.0
27,1994,Q2,The Crow,Miramax Films,"Alex Proyas (director); David J. Schow, John Shirley (screenplay); Brandon Lee, Ernie Hudson, Rochelle Davis, Michael Wincott, Bai Ling, Sofia Shinas, Anna Levine, David Patrick Kelly, Angel David, Laurence Mason, Michael Massee, Tony Todd, Jon Polito, Bill Raymond, Marco Rodriguez",The_Crow_(1994_film),{{flagicon|USA}} 1994年5月13日<br /> {{flagicon|JPN}} 1994年9月17日,1994-05-13,1994-09-17,127.0
28,1994,Q2,Widows' Peak,Fine Line Features / Rank Film Distributors / Irish Screen,"John Irvin (director); Hugh Leonard, Tim Hayes (screenplay); Mia Farrow, Joan Plowright, Natasha Richardson, Adrian Dunbar, Jim Broadbent",Widows%27_Peak,no_ja,,,
29,1994,Q2,Even Cowgirls Get the Blues,Fine Line Features,"Gus Van Sant (director/screenplay); Uma Thurman, Lorraine Bracco, Angie Dickinson, Noriyuki ""Pat"" Morita, Keanu Reeves, John Hurt, Rain Phoenix, Roseanne Arnold, Ed Begley Jr., Crispin Glover, Buck Henry, Carol Kane, Sean Young",Even_Cowgirls_Get_the_Blues_(film),{{flagicon|USA}} 1993年9月13日<br /> {{flagicon|JPN}} 1994年10月29日,1993-09-13,1994-10-29,411.0
